DateOfDeparture,Dayofweek,DepArr,log_PAX,Departure,Arrival,WeeksToDeparture,std_wtd
2011/9/1,4,LGABOS,12.57970226,LGA,BOS,6.583333333,7.216878365
2011/9/1,4,DTWORD,11.25155953,DTW,ORD,9.055555556,6.053411505
2011/9/1,4,ORDDEN,11.42646248,ORD,DEN,12,8.129631547
2011/9/1,4,PHLBOS,11.37694695,PHL,BOS,9.058823529,6.950454915
2011/9/1,4,SFOSEA,11.64159505,SFO,SEA,12.2,7.64852927
2011/9/1,4,SFODFW,11.32177868,SFO,DFW,11.45454545,7.920601665
2011/9/1,4,LGADFW,11.18787125,LGA,DFW,9.736842105,6.942958905
2011/9/1,4,JFKMCO,10.49537694,JFK,MCO,12.22222222,8.149248825
2011/9/1,4,DFWATL,12.68630131,DFW,ATL,12.25,8.103944289
2011/9/1,4,MSPDEN,11.03357341,MSP,DEN,11.26086957,8.427322401
2011/9/1,4,LAXBOS,11.15519249,LAX,BOS,12.61538462,7.848958775
2011/9/1,4,MIAATL,11.06349345,MIA,ATL,11.18181818,7.41707402
2011/9/1,4,SFODEN,11.61969684,SFO,DEN,10.63636364,6.750981971
2011/9/1,4,ORDDFW,12.54872923,ORD,DFW,10.30434783,7.175936953
2011/9/1,4,DENLAX,11.63432418,DEN,LAX,12.60714286,8.288051577
2011/9/1,4,PHLORD,11.71627517,PHL,ORD,12.08333333,7.779106167
2011/9/2,5,ATLMSP,10.63741603,ATL,MSP,8.294117647,5.542615649
2011/9/2,5,JFKSFO,11.83445797,JFK,SFO,13,7.937253933
2011/9/2,5,PHLATL,11.49443268,PHL,ATL,10.18181818,7.371995683
2011/9/2,5,MCOATL,11.26048288,MCO,ATL,11.04761905,7.927649024
2011/9/2,5,SFOLAX,12.73336299,SFO,LAX,12.53571429,8.167152561
2011/9/2,5,SEASFO,11.4142063,SEA,SFO,11.83333333,7.469745742
2011/9/2,5,LGADTW,10.91421574,LGA,DTW,10.1,6.789310484
2011/9/2,5,JFKMIA,11.18323776,JFK,MIA,12,7.359800722
2011/9/2,5,DENSFO,10.93022421,DEN,SFO,12.2,7.64852927
2011/9/2,5,MIAATL,10.68649717,MIA,ATL,11.14285714,7.818476286
2011/9/2,5,LAXORD,12.42896125,LAX,ORD,12.60714286,8.288051577
2011/9/2,5,LAXDFW,11.63432418,LAX,DFW,11.625,7.287944184
2011/9/2,5,ORDLGA,12.77926626,ORD,LGA,11.52173913,7.524925643
2011/9/2,5,MSPORD,11.31314452,MSP,ORD,11.52173913,7.686289832
2011/9/3,6,DENSFO,9.319679735,DEN,SFO,12.68,8.270026199
2011/9/3,6,LASLAX,11.3088124,LAS,LAX,12.73076923,7.997788156
2011/9/3,6,PHLORD,9.294305524,PHL,ORD,9.894736842,7.038739919
2011/9/3,6,JFKSFO,11.08806529,JFK,SFO,12.71428571,8.432112968
2011/9/3,6,PHLMCO,9.567136731,PHL,MCO,13.15384615,8.326787172
2011/9/3,6,ATLMCO,10.3848275,ATL,MCO,12.40740741,8.293923908
2011/9/3,6,DENLAX,10.25971319,DEN,LAX,12.69230769,7.968785256
2011/9/3,6,JFKMCO,9.805101403,JFK,MCO,11.65384615,7.771446752
2011/9/3,6,DFWDEN,10.00741517,DFW,DEN,10.9047619,7.608579118
2011/9/3,6,DFWLAX,10.47514192,DFW,LAX,11.95833333,7.743042693
2011/9/3,6,PHLBOS,8.832895279,PHL,BOS,7.384615385,4.426030229
2011/9/3,6,MCOPHL,10.04195275,MCO,PHL,12.68,8.295179323
2011/9/3,6,MIAATL,9.824427749,MIA,ATL,11.76923077,7.905986048
2011/9/3,6,PHXORD,9.890535077,PHX,ORD,11.79166667,7.558347914
2011/9/3,6,ATLLAX,10.86534895,ATL,LAX,10.40909091,7.7806787
